Positions: +- 1mm
flange length = 44mm distance between lens mount and sensor
Ball pos: 25.0, changing camera pos
Camera pos:
119, 1770 (picture number)
117, 1771
115, 1772
113, 1773, 
111, 1774, 
109, 1775,
107, 1776, 
105, 1777
103, 1778
101, 1779
101, 1780
99, 1781
97, 1782
95, 1783
93, 1784
91, 1785 (readjusted downwards)
89, 1786
87, 1787
85, 1788
83, 1789
81, 1790
79, 1791
77, 1792
75, 1793
73, 1794
71, 1795
69, 1796
67, 1797 readjusted
65, 1798 
63, 1799
61, 1800
59, 1801
57, 1802
55, 1803
53, 1804
51, 1805
49, 1806
47, 1807 readjusted
45, 1808
43, 1809
42, 1810
41, 1811
39, 1812
37, 1813
35, 1814
34, 1815
33, 1816
32, 1817
31, 1818


